Ranking,Song Name
1,Last Night
2,Flowers
3,Fast Car
4,Calm Down
5,All My Life
6,Favorite Song
7,Kill Bill
8,Creepin'
9,Karma
10,Ella Baila Sola
11,Sure Thing
12,Anti-Hero
13,Die For You
14,Something In The Orange
15,Snooze
16,La Bebe
17,Where She Goes
18,Un x100to
19,Need A Favor
20,Search & Rescue
21,You Proof
22,Thinkin' Bout Me
23,Chemical
24,Cupid
25,Rock And A Hard Place
26,Eyes Closed
27,"Boy's A Liar, Pt. 2"
28,Next Thing You Know
29,Put It On Da Floor Again
30,Thought You Should Know
31,I'm Good (Blue)
32,Dance The Night
33,Area Codes
34,Dancin' In The Country
35,One Thing At A Time
36,Memory Lane
37,"Bzrp Music Sessions, Vol. 55"
38,Tennessee Orange
39,Cruel Summer
40,TQM
41,Stand By Me
42,Religiously
43,Dial Drunk
44,Under The Influence
45,Players
46,Calling
47,Annihilate
48,Take Two
49,Love You Anyway
50,Thank God
51,Am I Dreaming
52,Princess Diana
53,Bye
54,Self Love
55,It Matters To Her
56,Daylight
57,PRC
58,Por Las Noches
59,Mourning
60,What It Is (Block Boy)
61,See You Again
62,TQG
63,El Azul
64,Bury Me In Georgia
65,Waffle House
66,"You, Me, & Whiskey"
67,Your Heart Or Mine
68,Plebada
69,Cowgirls
70,ICU
71,Baby Don't Hurt Me
72,Popular
73,Slut Me Out
74,Peaches & Eggplants
75,America Has A Problem
76,Fight The Feeling
77,Ain't That Some
78,Shake Sumn
79,Chanel
80,People
81,Bread & Butter
82,Trustfall
83,Fragil
84,Hits Different
85,Jaded
86,Pound Town 2
87,Low Down
88,Ocean Spray
89,Truck Bed
90,Moonlight
91,Trance
92,All The Way Live
93,The Hillbillies
94,El Gordo Trae El Mando
95,Too Many Nights
96,Save Me
97,Yandel 150
98,Beso
99,I Wrote The Book
100,Hummingbird
